Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,267.0,420,3236,27,9,7.0,160.0
Opp. Stats,309.0,524,2752,16,28,4.8,156.0
Lg Rank Offense, ,31,26,10,3,6.0, 
Lg Rank Defense, ,7,1,2,1,1.0, 
