Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,388,5730,1000,5.7,22,9,312,352,541,4124,31,13,7.1,204,421,1606,11,3.8,88,78,617,20,183,35.0,10.9,Own 29.8,2:48,5.62,31.3,1.97
Opp. Stats,240,4945,969,5.1,32,8,270,296,527,3107,16,24,5.4,163,395,1838,6,4.7,82,98,758,25,182,25.3,16.5,Own 29.1,2:32,5.5,27.0,1.24
Lg Rank Offense,10,9,,,10,9,13,,16,5,4,9,3,,20,24,18,25,,,,,,10,23,15,8,16,8,8
Lg Rank Defense,2,5,,,6,24,4,,13,5,4,2,3,,6,18,3,28,,,,,,31,6,12,11,15,9,2
