Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,190.0,32.6,12.6,Own 31.1,2:40,5.51,26.1,1.72
Opp. Stats,188.0,22.9,14.4,Own 30.6,2:27,5.3,20.1,1.09
Lg Rank Offense, ,21.0,17.0,12,18,20.0,24.0,19.0
Lg Rank Defense, ,31.0,10.0,18,5,5.0,1.0,2.0
