Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,420,1683,10,4.0,99.0
Opp. Stats,443,1754,18,4.0,111.0
Lg Rank Offense,23,25,28,25.0, 
Lg Rank Defense,17,6,23,5.0, 
