Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,406.0,607,4642,41,18,7.3,233.0
Opp. Stats,416.0,625,4109,17,19,6.1,214.0
Lg Rank Offense, ,10,5,2,27,2.0, 
Lg Rank Defense, ,27,22,2,3,15.0, 
