Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,510,6461,1032,6.3,28,16,348,378,544,4355,34,12,7.7,215,468,2106,21,4.5,115,89,787,18,185,41.6,13.5,Own 31.4,2:44,5.73,34.9,2.44
Opp. Stats,341,5724,1044,5.5,39,13,310,330,574,3769,15,26,6.2,175,435,1955,19,4.5,111,86,717,24,194,31.4,18.0,Own 28.5,2:25,5.5,29.5,1.64
Lg Rank Offense,1,1,,,16,29,2,,15,4,1,6,2,,7,6,3,7,,,,,,3,17,6,12,13,3,2
Lg Rank Defense,20,25,,,2,6,22,,27,26,5,3,20,,17,21,28,26,,,,,,17,3,9,4,19,20,15
