Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,320.0,537,3432,23,13,6.0,177.0
Opp. Stats,328.0,618,3232,11,29,4.9,177.0
Lg Rank Offense, ,6,9,11,6,13.0, 
Lg Rank Defense, ,32,15,1,1,2.0, 
