Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,205.0,85.0,41.5%,13.0,5.0,38.5%,53.0,32.0,60.4%
Opp. Stats,213.0,77.0,36.2%,20.0,6.0,30.0%,31.0,15.0,48.4%
Lg Rank Offense, , ,8, , ,25, , ,6
Lg Rank Defense, , ,9, , ,4, , ,12
