Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,187.0,32.6,10.7,Own 32.4,2:45,5.67,26.7,1.6
Opp. Stats,197.0,17.8,18.3,Own 28.8,2:20,5.0,20.4,0.9
Lg Rank Offense, ,18.0,27.0,8,5,14.0,23.0,22.0
Lg Rank Defense, ,32.0,4.0,3,3,2.0,1.0,1.0
