Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,164.0,48.8,7.9,Own 28.8,2:52,6.18,37.0,2.59
Opp. Stats,164.0,34.1,13.4,Own 27.0,2:59,6.5,34.0,1.88
Lg Rank Offense, ,2.0,29.0,12,5,6.0,3.0,2.0
Lg Rank Defense, ,22.0,9.0,7,30,32.0,23.0,15.0
