Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,457,5852,1073.0,5.5,20,11,338,341.0,564,3737,38,9,6.2,193.0,473,2115,9,4.5,108.0,116.0,962.0,37.0,191.0,40.3,9.4,Own 30.0,2:44,5.81,30.5,2.21
Opp. Stats,295,4904,976.0,5.0,31,12,272,363.0,601,3637,24,19,5.7,177.0,337,1267,7,3.8,62.0,101.0,917.0,33.0,188.0,27.1,15.4,Own 28.2,2:19,5.3,26.1,1.47
Lg Rank Offense,3,7, , ,11,22,4, ,13,13,1,6,14.0, ,6,3,24,4.0, , , , , ,7.0,23.0,3,10,14.0,10.0,5.0
Lg Rank Defense,4,4, , ,4,4,5, ,31,17,18,4,7.0, ,1,1,3,6.0, , , , , ,31.0,4.0,14,2,5.0,5.0,3.0
