Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,373,5302,1041.0,5.1,34,14,321,302.0,544,3154,23,20,5.5,167.0,469,2148,15,4.6,119.0,77.0,652.0,35.0,189.0,32.3,17.5,Own 31.5,2:39,5.65,28.1,1.77
Opp. Stats,351,4880,984.0,5.0,25,10,288,306.0,523,3317,24,15,5.8,185.0,408,1563,12,3.8,83.0,118.0,874.0,20.0,193.0,29.5,12.4,Own 31.3,2:22,5.2,25.2,1.63
Lg Rank Offense,14,16, , ,23,23,8, ,17,21,14,23,22.0, ,8,4,7,4.0, , , , , ,15.0,6.0,14,14,14.0,15.0,14.0
Lg Rank Defense,17,7, , ,22,18,10, ,9,11,20,20,10.0, ,10,8,17,9.0, , , , , ,21.0,23.0,19,2,5.0,5.0,16.0
