Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,437,5722,1035.0,5.5,27,13,344,293.0,485,3588,29,14,7.0,193.0,524,2134,15,4.1,120.0,101.0,822.0,31.0,178.0,42.1,14.6,Own 31.4,2:49,6.01,32.1,2.25
Opp. Stats,260,4972,988.0,5.0,36,16,290,315.0,538,3400,18,20,5.8,177.0,405,1572,9,3.9,83.0,118.0,1014.0,30.0,175.0,24.0,20.0,Own 30.8,2:37,5.8,28.4,1.34
Lg Rank Offense,4,7, , ,14,23,6, ,22,11,5,11,7.0, ,5,7,8,18.0, , , , , ,2.0,14.0,11,6,3.0,7.0,5.0
Lg Rank Defense,2,9, , ,3,3,10, ,26,17,7,7,10.0, ,5,6,8,11.0, , , , , ,31.0,1.0,15,20,26.0,17.0,4.0
