Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,185.0,41.6,13.5,Own 31.4,2:44,5.73,34.9,2.44
Opp. Stats,194.0,31.4,18.0,Own 28.5,2:25,5.5,29.5,1.64
Lg Rank Offense, ,3.0,17.0,6,12,13.0,3.0,2.0
Lg Rank Defense, ,17.0,3.0,9,4,19.0,20.0,15.0
