Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,473,1607,9,3.4,91.0
Opp. Stats,401,1434,10,3.6,91.0
Lg Rank Offense,12,27,24,30.0, 
Lg Rank Defense,4,4,6,6.0, 
