Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,379,5597,1005,5.6,37,19,301,247,478,3495,27,18,6.9,153,500,2102,18,4.2,119,82,691,29
Opp. Stats,285,5022,1021,4.9,34,11,296,276,527,3343,19,23,5.8,177,441,1679,10,3.8,104,97,801,15
Lg Rank Offense,4,3,,,18,20,9,,17,4,4,11,2,,9,7,3,5,,,,
Lg Rank Defense,6,18,,,15,24,17,,27,24,8,6,11,,8,10,9,12,,,,
