Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,199.0,31.2,15.1,Own 25.9,2:27,5.48,28.6,1.58
Opp. Stats,201.0,26.9,11.9,Own 29.5,2:26,5.3,22.5,1.38
Lg Rank Offense, ,24.0,6.0,27,24,25.0,23.0,24.0
Lg Rank Defense, ,31.0,14.0,30,6,2.0,1.0,1.0
