Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,184.0,40.8,9.2,Own 29.9,2:42,6.05,34.2,2.27
Opp. Stats,187.0,32.6,15.0,Own 29.1,2:28,5.5,30.7,1.75
Lg Rank Offense, ,7.0,29.0,8,16,7.0,9.0,8.0
Lg Rank Defense, ,29.0,4.0,23,1,4.0,11.0,7.0
