Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,348,5039,1042.0,4.8,24,11,294
Opp. Stats,238,4666,1060.0,4.4,41,12,293
Lg Rank Offense,12,17, , ,7,13,16
Lg Rank Defense,1,7, , ,2,13,17
