Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,398,5640,1042.0,5.4,16,5,314,334.0,560,3739,22,11,6.3,182.0,444,1901,17,4.3,98.0,121.0,1127.0,34.0,193.0,35.8,7.8,Own 27.0,2:22,5.57,29.2,1.88
Opp. Stats,344,5615,1086.0,5.2,25,12,326,335.0,557,3650,15,13,6.1,187.0,492,1965,15,4.0,105.0,107.0,929.0,34.0,192.0,34.9,12.0,Own 27.3,2:42,5.9,29.0,1.67
Lg Rank Offense,10,16, , ,2,3,15, ,15,15,18,6,15.0, ,12,11,6,12.0, , , , , ,13.0,31.0,19,28,22.0,18.0,15.0
Lg Rank Defense,12,17, , ,14,8,21, ,16,17,2,19,16.0, ,29,20,23,8.0, , , , , ,14.0,16.0,14,22,26.0,13.0,11.0
