Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,373,4887,949,5.1,32,20,288,191,337,2254,21,12,6.1,125,581,2633,22,4.5,149,89,756,14
Opp. Stats,162,3661,870,4.2,37,10,214,183,396,1836,9,27,4.2,97,431,1825,8,4.2,91,82,701,26
Lg Rank Offense,5,7,,,7,22,5,,23,14,5,2,8,,5,2,5,2,,,,
Lg Rank Defense,2,4,,,13,23,3,,18,4,1,4,5,,3,8,3,22,,,,
