Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,206.0,77.0,37.4%,13.0,4.0,30.8%,56.0,32.0,57.1%
Opp. Stats,220.0,84.0,38.2%,18.0,10.0,55.6%,61.0,34.0,55.7%
Lg Rank Offense, , ,14, , ,26, , ,8
Lg Rank Defense, , ,17, , ,26, , ,21
