Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,496,7032,1094.0,6.4,23,11,408,435.0,651,5062,41,12,7.5,272.0,417,1970,18,4.7,105.0,87.0,838.0,31.0,179.0,46.4,10.1,Own 28.9,2:53,6.29,39.3,2.71
Opp. Stats,369,5579,1093.0,5.1,20,9,337,408.0,619,3756,33,11,5.6,207.0,419,1823,10,4.4,102.0,98.0,734.0,28.0,184.0,35.9,10.3,Own 28.2,2:49,6.1,30.2,2.01
Lg Rank Offense,1,1, , ,17,24,1, ,5,1,1,10,1.0, ,25,20,7,8.0, , , , , ,1.0,25.0,15,10,6.0,1.0,1.0
Lg Rank Defense,16,11, , ,20,17,19, ,30,18,32,21,4.0, ,5,8,5,15.0, , , , , ,18.0,21.0,12,19,22.0,11.0,21.0
