Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,333,5014,1058.0,4.7,26,7,288,287.0,504,2815,20,19,5.1,156.0,511,2199,9,4.3,116.0,95.0,730.0,16.0,195.0,32.8,12.8,Own 36.8,2:44,5.63,25.5,1.58
Opp. Stats,165,3967,924.0,4.3,49,26,216,295.0,528,2997,11,23,5.3,135.0,361,970,5,2.7,59.0,84.0,535.0,22.0,194.0,15.5,23.7,Own 28.6,2:12,4.9,20.4,0.79
Lg Rank Offense,14,16, , ,9,1,18, ,20,22,15,20,24.0, ,5,5,24,8.0, , , , , ,10.0,22.0,1,3,8.0,20.0,14.0
Lg Rank Defense,1,2, , ,1,1,2, ,13,8,2,5,7.0, ,3,1,1,1.0, , , , , ,31.0,1.0,2,1,1.0,2.0,1.0
