Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,417,5424,973.0,5.6,19,10,307
Opp. Stats,231,4378,990.0,4.4,39,11,282
Lg Rank Offense,8,17, , ,4,16,20
Lg Rank Defense,1,1, , ,1,11,3
