Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,451,6067,976,6.2,15,10,350,378,576,4498,30,5,7.5,211,375,1569,16,4.2,93,107,1029,46,164,48.8,7.9,Own 28.8,2:52,6.18,37.0,2.59
Opp. Stats,308,5594,1043,5.4,23,7,344,352,582,3543,21,16,5.7,190,416,2051,14,4.9,115,116,844,39,164,34.1,13.4,Own 27.0,2:59,6.5,34.0,1.88
Lg Rank Offense,5,6,,,3,19,6,,15,5,5,2,2,,27,23,13,20,,,,,,2,29,12,5,6,3,2
Lg Rank Defense,7,17,,,10,24,23,,23,8,8,5,5,,17,26,17,29,,,,,,22,9,7,30,32,23,15
