Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,457,5852,1073,5.5,20,11,338,341,564,3737,38,9,6.2,193,473,2115,9,4.5,108,116,962,37,191,40.3,9.4,Own 30.0,2:44,5.81,30.5,2.21
Opp. Stats,295,4904,976,5.0,31,12,272,363,601,3637,24,19,5.7,177,337,1267,7,3.8,62,101,917,33,188,27.1,15.4,Own 28.2,2:19,5.3,26.1,1.47
Lg Rank Offense,3,7,,,11,22,4,,13,13,1,6,14,,6,3,24,4,,,,,,7,23,3,10,14,10,5
Lg Rank Defense,4,4,,,4,4,5,,31,17,18,4,7,,1,1,3,6,,,,,,31,4,14,2,5,5,3
