Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,343,4103,776,5.3,28,16,215,133,256,1582,17,12,5.9,91,507,2521,16,5.0,111,52,416,13
Opp. Stats,150,3281,878,3.7,29,8,195,151,322,1290,5,21,3.5,78,511,1991,10,3.9,109,61,616,8
Lg Rank Offense,5,9,,,5,14,19,,24,21,8,3,6,,12,3,6,2,,,,
Lg Rank Defense,1,3,,,22,26,3,,6,1,1,5,1,,16,12,8,7,,,,
