Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,378.0,544,4355,34,12,7.7,215.0
Opp. Stats,330.0,574,3769,15,26,6.2,175.0
Lg Rank Offense, ,15,4,1,6,2.0, 
Lg Rank Defense, ,27,26,5,3,20.0, 
