Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,438,1727,13,3.9,96.0
Opp. Stats,419,1669,6,4.0,88.0
Lg Rank Offense,13,18,12,22.0, 
Lg Rank Defense,12,9,2,9.0, 
