Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,352.0,541,4124,31,13,7.1,204.0
Opp. Stats,296.0,527,3107,16,24,5.4,163.0
Lg Rank Offense, ,16,5,4,9,3.0, 
Lg Rank Defense, ,13,5,4,2,3.0, 
