Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,347,4991,1015.0,4.9,25,10,290
Opp. Stats,223,3795,974.0,3.9,29,9,240
Lg Rank Offense,20,22, , ,15,13,20
Lg Rank Defense,1,1, , ,9,18,2
