Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,368.0,606,3970,19,23,6.2,201.0
Opp. Stats,344.0,573,3193,19,14,5.1,162.0
Lg Rank Offense, ,13,14,28,32,21.0, 
Lg Rank Defense, ,18,1,3,13,1.0, 
