Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,406,5035,905,5.6,35,21,288,206,361,2786,22,14,7.1,144,512,2249,25,4.4,135,94,952,9
Opp. Stats,222,3468,817,4.2,51,25,200,209,421,2324,15,26,5.0,125,353,1144,8,3.2,59,61,647,16
Lg Rank Offense,1,1,,,11,26,1,,14,2,2,5,2,,2,3,1,7,,,,
Lg Rank Defense,7,3,,,1,1,4,,26,19,11,7,6,,2,2,5,2,,,,
