Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,183.0,35.0,10.9,Own 29.8,2:48,5.62,31.3,1.97
Opp. Stats,182.0,25.3,16.5,Own 29.1,2:32,5.5,27.0,1.24
Lg Rank Offense, ,10.0,23.0,15,8,16.0,8.0,8.0
Lg Rank Defense, ,31.0,6.0,12,11,15.0,9.0,2.0
