Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,355,5688,1056.0,5.4,31,8,314,368.0,606,3970,19,23,6.2,201.0,411,1718,13,4.2,85.0,115.0,1063.0,28.0,199.0,31.2,15.1,Own 25.9,2:27,5.48,28.6,1.58
Opp. Stats,296,4530,1033.0,4.4,27,13,289,344.0,573,3193,19,14,5.1,162.0,408,1337,10,3.3,81.0,104.0,773.0,46.0,201.0,26.9,11.9,Own 29.5,2:26,5.3,22.5,1.38
Lg Rank Offense,19,16, , ,29,7,19, ,13,14,28,32,21.0, ,17,17,12,13.0, , , , , ,24.0,6.0,27,24,25.0,23.0,24.0
Lg Rank Defense,4,1, , ,8,4,5, ,18,1,3,13,1.0, ,13,3,10,1.0, , , , , ,31.0,14.0,30,6,2.0,1.0,1.0
