Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,394,6161,1028.0,6.0,24,8,331
Opp. Stats,400,6022,1072.0,5.6,31,11,338
Lg Rank Offense,9,8, , ,16,10,10
Lg Rank Defense,25,27, , ,5,7,26
