Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,369,5900,1076,5.5,26,12,326,293,502,3377,21,14,6.2,167,527,2523,18,4.8,141,115,986,18
Opp. Stats,294,4575,1013,4.5,38,16,277,292,530,2987,25,22,5.2,160,441,1588,8,3.6,90,76,603,27
Lg Rank Offense,7,2,,,1,4,6,,15,10,10,2,9,,7,2,7,2,,,,
Lg Rank Defense,8,3,,,7,10,4,,22,8,24,6,3,,5,3,3,4,,,,
