Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,191.0,83.0,43.5%,14.0,8.0,57.1%,61.0,42.0,68.9%
Opp. Stats,205.0,82.0,40.0%,25.0,14.0,56.0%,51.0,32.0,62.7%
Lg Rank Offense, , ,11, , ,15, , ,7
Lg Rank Defense, , ,14, , ,15, , ,20
