Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,371,4882,1001.0,4.9,28,13,292
Opp. Stats,272,5352,1016.0,5.3,35,13,303
Lg Rank Offense,6,19, , ,13,16,13
Lg Rank Defense,6,24, , ,8,9,26
