Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,185.0,32.4,14.6,Own 32.6,2:41,5.57,26.2,1.75
Opp. Stats,188.0,27.7,17.6,Own 29.8,2:31,5.6,28.4,1.3
Lg Rank Offense, ,7.0,14.0,8,7,9.0,19.0,7.0
Lg Rank Defense, ,22.0,7.0,7,13,25.0,24.0,6.0
