Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,348,5039,1042.0,4.8,24,11,294,320.0,537,3432,23,13,6.0,177.0,473,1607,9,3.4,91.0,111.0,998.0,26.0,204.0,27.9,11.3,Own 33.3,2:29,5.27,24.6,1.47
Opp. Stats,238,4666,1060.0,4.4,41,12,293,328.0,618,3232,11,29,4.9,177.0,401,1434,10,3.6,91.0,107.0,845.0,25.0,200.0,23.0,19.5,Own 30.6,2:23,5.5,23.5,1.11
Lg Rank Offense,12,17, , ,7,13,16, ,6,9,11,6,13.0, ,12,27,24,30.0, , , , , ,18.0,27.0,5,22,25.0,22.0,19.0
Lg Rank Defense,1,7, , ,2,13,17, ,32,15,1,1,2.0, ,4,4,6,6.0, , , , , ,32.0,2.0,8,6,18.0,4.0,1.0
