Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,442,6268,1021,6.1,25,14,350,339,483,4302,35,11,8.1,209,493,1966,14,4.0,124,109,922,17
Opp. Stats,253,4618,979,4.7,37,16,283,316,564,3235,15,21,5.3,178,372,1383,9,3.7,76,75,581,29
Lg Rank Offense,1,1,,,2,10,1,,20,2,1,1,1,,13,10,12,13,,,,
Lg Rank Defense,3,4,,,11,9,9,,25,11,3,9,5,,1,3,3,8,,,,
