Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,187.0,105.0,56.1%,4.0,0.0,0.0%,62.0,41.0,66.1%
Opp. Stats,191.0,90.0,47.1%,14.0,11.0,78.6%,51.0,30.0,58.8%
Lg Rank Offense, , ,1, , ,32, , ,2
Lg Rank Defense, , ,32, , ,30, , ,31
