Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,206.0,93.0,45.1%,10.0,4.0,40.0%,63.0,37.0,58.7%
Opp. Stats,209.0,81.0,38.8%,30.0,13.0,43.3%,49.0,20.0,40.8%
Lg Rank Offense, , ,5, , ,24, , ,7
Lg Rank Defense, , ,21, , ,14, , ,3
