Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,189.0,32.3,17.5,Own 31.5,2:39,5.65,28.1,1.77
Opp. Stats,193.0,29.5,12.4,Own 31.3,2:22,5.2,25.2,1.63
Lg Rank Offense, ,15.0,6.0,14,14,14.0,15.0,14.0
Lg Rank Defense, ,21.0,23.0,19,2,5.0,5.0,16.0
