Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,492,6145,1017,6.0,17,5,364,410,626,4626,42,12,7.1,238,369,1519,16,4.1,82,84,715,44,180,47.8,8.9,Own 31.0,2:34,5.82,34.1,2.72
Opp. Stats,355,5234,1023,5.1,25,10,319,426,617,3945,29,15,5.9,215,358,1289,10,3.6,78,95,1015,26,178,33.7,14.0,Own 28.1,2:48,5.9,29.4,1.89
Lg Rank Offense,3,7,,,7,2,10,,6,2,2,16,8,,29,28,15,25,,,,,,6,27,4,28,28,13,5
Lg Rank Defense,8,6,,,5,8,5,,29,21,20,7,8,,1,1,1,1,,,,,,27,4,13,17,9,6,6
