Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,421,1606,11,3.8,88.0
Opp. Stats,395,1838,6,4.7,82.0
Lg Rank Offense,20,24,18,25.0, 
Lg Rank Defense,6,18,3,28.0, 
