Player,Att.1,Yds.2,TD.1,Y/A,1stD.2
Team Stats,444,1901,17,4.3,98.0
Opp. Stats,492,1965,15,4.0,105.0
Lg Rank Offense,12,11,6,12.0, 
Lg Rank Defense,29,20,23,8.0, 
