Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,221.0,98.0,44.3%,13.0,7.0,53.8%,67.0,39.0,58.2%
Opp. Stats,209.0,84.0,40.2%,23.0,8.0,34.8%,46.0,22.0,47.8%
Lg Rank Offense, , ,6, , ,8, , ,9
Lg Rank Defense, , ,16, , ,6, , ,6
