Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,348,5039,1042,4.8,24,11,294,320,537,3432,23,13,6.0,177,473,1607,9,3.4,91,111,998,26,204,27.9,11.3,Own 33.3,2:29,5.27,24.6,1.47
Opp. Stats,238,4666,1060,4.4,41,12,293,328,618,3232,11,29,4.9,177,401,1434,10,3.6,91,107,845,25,200,23.0,19.5,Own 30.6,2:23,5.5,23.5,1.11
Lg Rank Offense,12,17,,,7,13,16,,6,9,11,6,13,,12,27,24,30,,,,,,18,27,5,22,25,22,19
Lg Rank Defense,1,7,,,2,13,17,,32,15,1,1,2,,4,4,6,6,,,,,,32,2,8,6,18,4,1
