Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,441,6180,1056.0,5.9,11,9,351
Opp. Stats,250,5223,998.0,5.2,23,10,294
Lg Rank Offense,3,4, , ,1,13,5
Lg Rank Defense,1,8, , ,14,9,3
