Player,PF,Yds,Ply,Y/P,TO,FL,1stD
Team Stats,437,5722,1035.0,5.5,27,13,344
Opp. Stats,260,4972,988.0,5.0,36,16,290
Lg Rank Offense,4,7, , ,14,23,6
Lg Rank Defense,2,9, , ,3,3,10
