Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,416,6258,1080,5.8,52,26,337,272,492,3655,26,26,7.0,179,561,2603,25,4.6,141,108,866,17
Opp. Stats,262,4270,1035,4.1,42,15,260,226,480,2561,19,27,4.8,135,506,1709,9,3.4,95,94,732,30
Lg Rank Offense,1,1,,,28,28,3,,9,2,5,24,2,,12,2,2,1,,,,
Lg Rank Defense,5,2,,,8,20,4,,21,10,14,4,2,,7,4,2,2,,,,
