Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,341.0,564,3737,38,9,6.2,193.0
Opp. Stats,363.0,601,3637,24,19,5.7,177.0
Lg Rank Offense, ,13,13,1,6,14.0, 
Lg Rank Defense, ,31,17,18,4,7.0, 
