Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,356,4996,1046,4.8,39,17,316,212,380,2699,28,22,6.7,149,641,2297,16,3.6,133,109,948,34
Opp. Stats,195,4168,999,4.2,48,21,265,221,442,2394,10,27,4.9,119,513,1774,11,3.5,106,109,987,40
Lg Rank Offense,5,8,,,15,10,4,,22,12,1,15,2,,3,14,12,23,,,,
Lg Rank Defense,1,3,,,2,3,7,,19,12,2,7,5,,6,2,2,2,,,,
