Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,191.0,40.3,9.4,Own 30.0,2:44,5.81,30.5,2.21
Opp. Stats,188.0,27.1,15.4,Own 28.2,2:19,5.3,26.1,1.47
Lg Rank Offense, ,7.0,23.0,3,10,14.0,10.0,5.0
Lg Rank Defense, ,31.0,4.0,14,2,5.0,5.0,3.0
