Player,#Dr,Sc%,TO%,Start,Time,Plays,Yds.4,Pts
Team Stats,181.0,45.3,7.2,Own 30.6,2:37,6.13,32.3,2.4
Opp. Stats,182.0,32.4,13.2,Own 25.5,2:40,5.9,30.2,1.63
Lg Rank Offense, ,2.0,30.0,2,16,4.0,8.0,3.0
Lg Rank Defense, ,20.0,12.0,1,20,21.0,15.0,8.0
