Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,287.0,504,2815,20,19,5.1,156.0
Opp. Stats,295.0,528,2997,11,23,5.3,135.0
Lg Rank Offense, ,20,22,15,20,24.0, 
Lg Rank Defense, ,13,8,2,5,7.0, 
