Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,192.0,68.0,35.4%,12.0,5.0,41.7%,56.0,34.0,60.7%
Opp. Stats,232.0,92.0,39.7%,17.0,6.0,35.3%,48.0,23.0,47.9%
Lg Rank Offense, , ,23, , ,20, , ,5
Lg Rank Defense, , ,20, , ,8, , ,10
