Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,456,5535,1053,5.3,24,11,338,328,548,3697,39,13,6.3,197,465,1838,9,4.0,118,92,714,23
Opp. Stats,210,4156,981,4.2,39,13,248,283,544,2740,12,26,4.7,151,400,1416,7,3.5,74,107,797,23
Lg Rank Offense,1,5,,,2,8,2,,12,5,1,5,6,,14,11,19,12,,,,
Lg Rank Defense,1,1,,,3,14,1,,20,1,3,2,1,,4,4,5,5,,,,
