Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,435,5824,1007,5.8,23,13,364,322,494,3623,18,10,7.1,195,495,2201,29,4.4,141,90,695,28
Opp. Stats,291,5044,1001,5.0,25,6,303,293,523,3272,17,19,5.9,165,442,1772,13,4.0,113,112,913,25
Lg Rank Offense,3,5,,,5,13,1,,28,13,22,1,1,,4,2,1,4,,,,
Lg Rank Defense,3,9,,,24,29,11,,6,8,7,8,13,,14,16,14,18,,,,
