Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy
Team Stats,371,5378,1076,5.0,32,10,324,260,472,3133,22,22,6.0,171,558,2245,18,4.0,127,96,738,26
Opp. Stats,236,4757,996,4.8,43,19,284,334,587,3473,15,24,5.4,177,350,1284,10,3.7,78,119,988,29
Lg Rank Offense,8,10,,,9,2,6,,22,17,9,17,12,,5,6,7,11,,,,
Lg Rank Defense,2,2,,,4,2,6,,26,19,3,7,4,,1,1,4,6,,,,
