Player,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1
Team Stats,392.0,609,4121,34,9,6.5,228.0
Opp. Stats,342.0,574,3837,24,16,6.2,196.0
Lg Rank Offense, ,7,9,5,4,17.0, 
Lg Rank Defense, ,24,17,12,12,16.0, 
